time,ax,ay,az,gx,gy,gz,mx,my,mz,depth,current,voltage,temperature
2022-12-13 19:01:22.104070,,,,,,,,,,-0.07,,,
2022-12-13 19:01:22.105804,,,,,,,,,,,,,28.94
2022-12-13 19:01:22.613921,0.0,-0.0,1.02,-0.39,0.3,1.37,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:22.657791,,,,,,,,,,-0.07,,,
2022-12-13 19:01:22.659076,,,,,,,,,,,,,28.94
2022-12-13 19:01:23.046254,,,,,,,,,,,1.5,,
2022-12-13 19:01:23.046718,,,,,,,,,,,,12.24,
2022-12-13 19:01:23.167277,0.01,-0.0,1.02,-1.06,-0.29,0.72,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:23.210041,,,,,,,,,,-0.07,,,
2022-12-13 19:01:23.211967,,,,,,,,,,,,,28.94
2022-12-13 19:01:23.720196,0.01,-0.0,1.02,-0.93,0.22,0.67,-0.59,0.93,-0.58,,,,
2022-12-13 19:01:23.762810,,,,,,,,,,-0.07,,,
2022-12-13 19:01:23.764634,,,,,,,,,,,,,28.94
2022-12-13 19:01:24.272099,0.01,-0.0,1.02,-0.53,-0.22,2.49,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:24.315181,,,,,,,,,,-0.07,,,
2022-12-13 19:01:24.317000,,,,,,,,,,,,,28.94
2022-12-13 19:01:24.570289,,,,,,,,,,,1.38,,
2022-12-13 19:01:24.570892,,,,,,,,,,,,12.24,
2022-12-13 19:01:24.825608,0.01,-0.0,1.02,-0.6,-0.47,2.24,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:24.868535,,,,,,,,,,-0.06,,,
2022-12-13 19:01:24.870239,,,,,,,,,,,,,28.94
2022-12-13 19:01:25.377743,0.01,-0.0,1.02,-0.9,0.14,1.91,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:25.420928,,,,,,,,,,-0.07,,,
2022-12-13 19:01:25.422858,,,,,,,,,,,,,28.95
2022-12-13 19:01:25.930934,0.01,-0.0,1.02,-1.48,-1.12,2.03,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:25.973895,,,,,,,,,,-0.06,,,
2022-12-13 19:01:25.975802,,,,,,,,,,,,,28.95
2022-12-13 19:01:26.095366,,,,,,,,,,,1.13,,
2022-12-13 19:01:26.096027,,,,,,,,,,,,12.25,
2022-12-13 19:01:26.483708,0.01,-0.0,1.02,0.6,0.47,1.83,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:26.526720,,,,,,,,,,-0.06,,,
2022-12-13 19:01:26.528573,,,,,,,,,,,,,28.95
2022-12-13 19:01:27.036669,0.01,-0.0,1.02,-1.39,-0.58,2.31,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:27.079677,,,,,,,,,,-0.07,,,
2022-12-13 19:01:27.081615,,,,,,,,,,,,,28.95
2022-12-13 19:01:27.589751,0.02,-0.0,1.02,-0.25,-0.17,1.15,-0.59,0.93,-0.58,,,,
2022-12-13 19:01:27.620147,,,,,,,,,,,1.0,,
2022-12-13 19:01:27.620685,,,,,,,,,,,,12.24,
2022-12-13 19:01:27.632621,,,,,,,,,,-0.06,,,
2022-12-13 19:01:27.634335,,,,,,,,,,,,,28.95
2022-12-13 19:01:28.142243,0.02,-0.0,1.02,-0.64,-0.21,1.66,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:28.185611,,,,,,,,,,-0.06,,,
2022-12-13 19:01:28.187459,,,,,,,,,,,,,28.95
2022-12-13 19:01:28.694547,0.02,-0.0,1.02,-0.64,-1.2,2.69,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:28.737954,,,,,,,,,,-0.07,,,
2022-12-13 19:01:28.739850,,,,,,,,,,,,,28.95
2022-12-13 19:01:29.144221,,,,,,,,,,,1.25,,
2022-12-13 19:01:29.144698,,,,,,,,,,,,12.23,
2022-12-13 19:01:29.247395,0.01,-0.0,1.02,-0.37,0.08,2.62,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:29.290997,,,,,,,,,,-0.07,,,
2022-12-13 19:01:29.292728,,,,,,,,,,,,,28.96
2022-12-13 19:01:29.800533,0.0,-0.0,1.02,-1.96,-0.92,2.37,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:29.843756,,,,,,,,,,-0.07,,,
2022-12-13 19:01:29.845625,,,,,,,,,,,,,28.96
2022-12-13 19:01:30.354170,0.01,-0.0,1.02,0.17,-0.47,2.36,-0.59,0.97,-0.57,,,,
2022-12-13 19:01:30.396586,,,,,,,,,,-0.07,,,
2022-12-13 19:01:30.398454,,,,,,,,,,,,,28.96
2022-12-13 19:01:30.669492,,,,,,,,,,,1.38,,
2022-12-13 19:01:30.670211,,,,,,,,,,,,12.24,
2022-12-13 19:01:30.906451,0.01,-0.0,1.02,-0.99,-0.04,2.16,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:30.949650,,,,,,,,,,-0.06,,,
